promptKey,temperature,timesteps,rewards,hitActions,standActions,randomActions,DateTime
zero_shot_prompt,0.4,2,-1.0,2,0,0,2024-04-25 18:22:34.722063
zero_shot_prompt,0.4,3,-1.0,3,0,0,2024-04-25 18:22:34.917764
zero_shot_prompt,0.4,2,-1.0,2,0,0,2024-04-25 18:22:35.050209
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-25 18:22:35.117233
zero_shot_prompt,0.4,3,-1.0,3,0,0,2024-04-25 18:22:35.314411
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-25 18:22:35.380171
zero_shot_prompt,0.4,2,-1.0,2,0,0,2024-04-25 18:22:35.511751
zero_shot_prompt,0.4,3,-1.0,3,0,0,2024-04-25 18:22:35.710039
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-25 18:22:35.774755
zero_shot_prompt,0.4,5,-1.0,5,0,0,2024-04-25 18:22:36.100976
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-25 18:22:36.167076
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-25 18:22:36.231912
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-25 18:22:36.297139
zero_shot_prompt,0.4,2,-1.0,2,0,0,2024-04-25 18:22:36.458059
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-25 18:22:36.529201
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-25 18:22:36.595637
zero_shot_prompt,0.7,4,-1.0,4,0,0,2024-04-25 18:22:36.859577
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-25 18:22:36.990611
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-25 18:22:37.056621
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-25 18:22:37.123825
zero_shot_prompt,0.7,3,-1.0,3,0,0,2024-04-25 18:22:37.320708
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-25 18:22:37.471172
zero_shot_prompt,0.7,3,-1.0,3,0,0,2024-04-25 18:22:37.708448
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-25 18:22:37.773619
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-25 18:22:37.903678
zero_shot_prompt,0.7,3,-1.0,3,0,0,2024-04-25 18:22:38.098484
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-25 18:22:38.163579
zero_shot_prompt,0.7,3,-1.0,3,0,0,2024-04-25 18:22:38.361323
zero_shot_prompt,0.7,3,-1.0,3,0,0,2024-04-25 18:22:38.558149
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-25 18:22:38.690603
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-25 18:22:38.757059
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-25 18:22:38.888287
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-25 18:22:38.955407
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-25 18:22:39.087617
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-25 18:22:39.153771
